@relation FPFH-result
@attribute FPFH0 numeric
@attribute FPFH1 numeric
@attribute FPFH2 numeric
@attribute FPFH3 numeric
@attribute FPFH4 numeric
@attribute FPFH5 numeric
@attribute FPFH6 numeric
@attribute FPFH7 numeric
@attribute FPFH8 numeric
@attribute FPFH9 numeric
@attribute FPFH10 numeric
@attribute FPFH11 numeric
@attribute FPFH12 numeric
@attribute FPFH13 numeric
@attribute FPFH14 numeric
@attribute FPFH15 numeric
@attribute FPFH16 numeric
@attribute FPFH17 numeric
@attribute FPFH18 numeric
@attribute FPFH19 numeric
@attribute FPFH20 numeric
@attribute FPFH21 numeric
@attribute FPFH22 numeric
@attribute FPFH23 numeric
@attribute FPFH24 numeric
@attribute FPFH25 numeric
@attribute FPFH26 numeric
@attribute FPFH27 numeric
@attribute FPFH28 numeric
@attribute FPFH29 numeric
@attribute FPFH30 numeric
@attribute FPFH31 numeric
@attribute FPFH32 numeric
@attribute class {bump,flat}
@data
37.94,3.88757,3.41816,4.9334,7.66762,15.4464,8.98811,4.94326,3.7097,3.679,5.38678,40.5214,4.88587,4.03712,4.81465,6.05174,5.11164,5.11662,5.96473,6.77895,8.00827,8.70904,34.1393,9.57699,8.75951,6.99151,4.62834,2.87154,4.62171,6.83869,7.04103,7.20358,7.32785,bump
22.3451,2.55731,3.94371,6.36134,7.0012,36.2484,4.56728,6.20714,4.96005,1.59927,4.20918,22.9595,2.4279,2.55856,2.36625,4.03078,23.0787,8.22182,3.79637,4.90962,4.32746,21.323,21.944,9.50964,6.57486,4.34781,4.1664,7.00453,5.50156,7.83917,8.55131,10.7778,13.7829,bump
70.777,2.18327,1.5833,0.781915,2.56332,8.40049,3.39428,0.473254,0.686777,3.13603,6.02035,70.8674,2.74133,3.77413,1.68405,1.52673,1.90791,2.23307,0.919082,3.02826,5.3369,5.98112,54.7795,9.45997,4.86001,7.54467,5.21018,4.09578,3.34139,2.69791,3.40587,3.03608,1.56866,bump
18.3645,5.7185,5.55342,5.36821,7.29717,24.5719,7.54482,4.42721,3.55099,5.13522,12.4681,14.3824,6.92,6.68516,9.10067,10.5477,13.701,11.9118,7.39833,6.21567,5.30452,7.83279,10.2988,10.5281,10.021,9.24716,8.61724,4.56253,8.84919,8.45304,10.4676,10.0474,8.90792,bump
25.1329,5.12362,7.00078,5.79713,11.4377,20.3845,8.56185,4.85862,4.60106,4.44396,2.65785,32.6485,6.40745,5.57003,4.74349,5.21123,6.60203,6.35889,7.50939,7.54456,6.87884,10.5256,23.9668,9.50438,7.94683,5.93657,4.22106,2.45955,4.54703,7.43917,11.1133,11.1286,11.7368,bump
45.1474,3.34975,4.23982,4.75316,6.37118,12.8463,7.01683,4.73582,4.2953,3.46929,3.77509,50.0085,6.13407,5.23385,4.24377,4.134,4.65527,4.52803,4.29219,4.57365,5.04923,7.14746,37.5404,9.06902,6.84029,4.91823,4.18337,2.71378,4.35572,5.19785,7.0495,8.81418,9.31768,bump
32.1481,4.40576,2.45689,2.93183,4.98624,25.4663,5.67291,3.91115,3.1119,3.945,10.964,29.0404,3.44039,2.84213,3.79694,9.62004,15.7375,11.6429,5.91197,3.66179,4.41905,9.88692,19.7765,6.51779,7.93407,9.53553,11.145,8.62661,12.8443,7.22415,4.87047,5.05407,6.47155,bump
41.4842,2.66329,3.55088,5.02881,8.0797,14.3921,8.72891,5.49923,4.22096,3.29796,3.054,46.2069,5.38139,5.21343,4.93075,4.41485,4.32988,4.6718,4.53495,5.02843,6.64135,8.64622,36.7692,9.28561,7.96545,6.5833,3.88383,2.02911,3.1982,5.70457,7.12486,8.35818,9.09766,bump
32.8137,5.4339,3.54228,5.72885,9.44177,15.5874,6.6154,4.61511,3.83357,6.48398,5.90403,36.6165,7.10347,7.29348,5.81814,5.08599,5.77503,5.39399,5.39337,5.73752,6.75718,9.02538,19.9434,8.24301,8.12686,6.98375,5.76693,2.91295,4.64301,8.67635,10.6431,13.2619,10.7988,bump
88.8675,0.337954,0.179564,0.22566,0.697676,5.80459,0.558632,0.456247,0.149039,0.210437,2.51267,86.4018,0.263207,0.287513,0.512367,2.37566,5.08484,2.978,0.690156,0.523662,0.265568,0.617244,81.634,1.24587,0.848734,1.23815,2.75572,4.37749,3.08386,1.28108,1.51734,1.12249,0.895302,bump
